"Main Category","Sub Category"
"beer, cider & alcoholic rtds",beer
"beer, cider & alcoholic rtds","bitters & ales"
"beer, cider & alcoholic rtds",cider
"beer, cider & alcoholic rtds","on trade"
"beer, cider & alcoholic rtds","ready to drink"
biscuits,"biscuit bars"
biscuits,"catering biscuits"
biscuits,"retail biscuits"
biscuits,"seasonal biscuits"
biscuits,"wafers & cones"
"bread & cakes",bread
"bread & cakes","cakes & tarts"
"bread & cakes","impulse cakes"
"bread & cakes","morning goods"
confectionery,"boxed chocolates"
confectionery,"catering confectionery"
confectionery,chocolate
confectionery,"ice cream sundries"
confectionery,"mints & gum"
confectionery,"pick n mix"
confectionery,sweets
"crisps, snacks & dips","crisps & snacks"
"crisps, snacks & dips",dips
"crisps, snacks & dips",nuts
"food & drink disposables","bags & bin liners"
"food & drink disposables","disposable food gloves"
"food & drink disposables","disposable tableware"
"food & drink disposables","food-takeaway containers"
"food & drink disposables","food wraps & bags"
"food & drink disposables","paperware disposables"
"fresh food","butters, spreads, fats"
"fresh food",cheese
"fresh food","cooked meat & sausages"
"fresh food",cream
"fresh food",eggs
"fresh food","food to go"
"fresh food",milk
"fresh food","milk alternatives"
"fresh food","pastry, savouries, bread & pasta"
"fresh food","salads, sandwich fillers, dips"
"fresh food","yogurt & desserts"
"frozen food","frozen bread & pastry"
"frozen food","frozen burgers, grills, sausages"
"frozen food","frozen desserts"
"frozen food","frozen fish"
"frozen food","frozen ready meals"
"frozen food","frozen vegetables"
"frozen food","ice cream"
"frozen food","other frozen meat"
"frozen food","frozen beef-veal"
"frozen food","frozen lamb"
"frozen food","frozen pork"
"frozen food","frozen poultry"
greengrocery,"fresh fruit"
greengrocery,"fresh salad"
greengrocery,"fresh vegetables"
"grocery catering","baking ingredients catering"
"grocery catering","breakfast cereals catering"
"grocery catering","cooking ingredients catering"
"grocery catering","cooking sauce & paste catering"
"grocery catering","desserts catering"
"grocery catering","dry veg, cereals & rice catering"
"grocery catering","gravy & stock catering"
"grocery catering","instant snacks & meals catering"
